Number,Arrival time,X1,X2,X3
001,08:32,2,0,2
002,08:34,11,1,12
003,08:35,0,2,2
004,08:38,0,2,2
005,08:41,0,2,2
006,08:43,2,3,5
007,08:50,1,4,5
008,08:51,10,5,15
009,08:54,0,2,2
010,08:58,6,1,7
011,09:00,0,2,2
012,09:06,0,3,3
013,09:06,0,4,4
014,09:06,0,5,5
015,09:10,0,4,4
016,09:10,1,5,6
017,09:11,3,6,9
018,09:11,7,7,14
019,09:11,2,8,10
020,09:11,3,9,12
021,09:11,2,10,12
022,09:11,5,11,16
023,09:11,19,12,31
024,09:14,2,6,8
025,09:14,4,7,11
026,09:14,2,8,10
027,09:14,1,8,9
028,09:15,1,9,10
029,09:16,2,9,11
030,09:17,2,9,11
031,09:21,10,6,16
032,09:21,5,7,12
033,09:22,12,7,19
034,09:22,5,8,13
035,09:23,1,9,10
036,09:24,0,8,8
037,09:25,1,9,10
038,09:25,1,10,11
039,09:28,4,7,11
040,09:30,1,6,7
041,09:31,1,7,8
042,09:32,0,8,8
043,09:36,9,9,18
044,09:37,5,9,14
045,09:38,2,9,11
046,09:38,4,10,14
047,09:39,7,11,18
048,09:40,0,10,10
049,09:42,15,8,23
050,09:45,8,5,13
051,09:45,0,6,6
052,09:46,2,6,8
053,09:46,2,7,9
054,09:49,18,6,24
055,09:49,4,7,11
056,09:51,5,6,11
057,09:52,1,7,8
058,09:54,1,5,6
059,09:57,0,4,4
060,10:05,14,3,17
061,10:06,0,3,3
062,10:06,10,4,14
063,10:08,0,4,4
064,10:09,11,5,16
065,10:11,2,2,4
066,10:12,2,3,5
067,10:12,16,4,20
068,10:12,2,5,7
069,10:14,2,6,8
070,10:15,6,6,12
071,10:16,7,6,13
072,10:17,10,7,17
073,10:18,1,8,9
074,10:18,4,9,13
075,10:20,13,9,22
076,10:23,4,9,13
077,10:24,0,9,9
078,10:24,2,8,10
079,10:25,2,9,11
080,10:26,14,10,24
081,10:26,2,11,13
082,10:27,0,12,12
083,10:28,0,12,12
084,10:28,9,12,21
085,10:31,0,13,13
086,10:32,2,14,16
087,10:34,4,15,19
088,10:36,6,15,21
089,10:37,0,16,16
090,10:38,0,16,16
091,10:40,0,15,15
092,10:43,0,16,16
093,10:46,2,14,16
094,10:48,15,15,30
095,10:48,23,15,38
096,10:51,10,15,25
097,10:52,0,14,14
098,11:00,15,10,25
099,11:03,9,10,19
100,11:03,0,10,10
101,11:03,5,10,15
102,11:03,0,9,9
103,11:04,0,8,8
104,11:04,0,9,9
105,11:05,0,10,10
106,11:06,3,11,14
107,11:06,6,12,18
108,11:08,0,12,12
109,11:10,0,12,12
110,11:11,0,13,13
111,11:16,7,14,21
112,11:18,6,15,21
113,11:18,0,16,16
114,11:19,7,16,23
115,11:19,4,16,20
116,11:20,0,16,16
117,11:20,0,17,17
118,11:20,9,18,27
119,11:21,5,19,24
120,11:21,0,20,20
121,11:21,2,21,23
122,11:22,1,22,23
123,11:24,0,23,23
124,11:26,5,24,29
125,11:27,0,25,25
126,11:29,6,26,32
127,11:30,0,27,27
128,11:30,0,28,28
129,11:31,5,29,34
130,11:33,0,25,25
131,11:33,1,24,25
132,11:34,5,22,27
133,11:35,2,21,23
134,11:36,0,22,22
135,11:36,10,23,33
136,11:37,3,23,26
137,11:37,4,24,28
138,11:40,0,23,23
139,11:40,0,23,23
140,11:42,0,24,24
141,11:44,0,21,21
142,11:44,19,22,41
143,11:47,0,21,21
144,11:47,0,22,22
145,11:51,1,18,19
146,11:52,4,19,23
147,11:52,6,20,26
148,11:54,6,18,24
149,11:58,0,16,16
150,11:59,4,14,18
151,12:00,0,15,15
152,12:00,2,16,18
153,12:04,3,15,18
154,12:04,2,16,18
155,12:07,3,15,18
156,12:09,5,11,16
157,12:14,0,6,6
158,12:15,3,7,10
159,12:16,0,8,8
160,12:17,5,9,14
161,12:18,0,10,10
162,12:20,2,9,11
163,12:20,1,9,10
164,12:20,2,10,12
165,12:24,3,11,14
167,12:26,4,11,15
168,12:28,3,8,11
169,12:29,6,6,12
170,12:30,0,7,7
171,12:30,0,8,8
172,12:31,2,9,11
173,12:34,0,7,7
174,12:35,1,7,8
175,12:36,3,6,9
176,12:36,3,7,10
